,33 St-Rawson St,40 St-Lowery St,46 St-Bliss St,61 St-Woodside,74 St-Broadway,Court Sq,Flushing-Main St,Hunters Point Av,Junction Blvd,Mets-Willets Point,Queensboro Plaza,Vernon Blvd-Jackson Av
33 St-Rawson St,0.0,0.0,0.0,0.0,,,1.829670329670332,,1.5,1.7622377622377599,,
40 St-Lowery St,,0.0,0.0,0.0,,,1.829670329670332,,1.5,1.7622377622377616,,
46 St-Bliss St,,,0.0,0.0,,,1.829670329670332,,1.5,1.7622377622377634,,
61 St-Woodside,,,,0.0,,,3.3296703296703285,,3.0,3.2622377622377634,,
74 St-Broadway,,,,,,,,,,,,
Court Sq,0.024725274725274637,0.01098901098901095,0.03846153846153921,0.038461538461538325,,0.0,1.76923076923077,,1.5384615384615365,1.8251748251748232,0.0,
Flushing-Main St,,,,,,,0.0,,,,,
Hunters Point Av,0.0,0.0,0.0,0.0,,-0.03571428571428559,1.829670329670332,0.0,1.5,1.7622377622377599,0.0,
Junction Blvd,,,,,,,1.8681318681318677,,0.0,1.6468531468531467,,
Mets-Willets Point,,,,,,,0.0,,,0.0,,
Queensboro Plaza,0.0,0.0,0.0,0.0,,,1.829670329670332,,1.5,1.7622377622377599,0.0,
Vernon Blvd-Jackson Av,0.0,0.0,0.0,0.0,,-0.03571428571428603,1.829670329670332,0.0,1.5,1.7622377622377599,0.0,0.0
