,Flushing-Main St,Mets-Willets Point,Junction Blvd,74 St-Broadway,61 St-Woodside,46 St-Bliss St,40 St-Lowery St,33 St-Rawson St,Queensboro Plaza,Court Sq,Hunters Point Av,Vernon Blvd-Jackson Av
Flushing-Main St,0.0,0.0,2.2929292929292924,3.5087412587412583,3.3059440559440567,3.3210955710955723,3.3210955710955723,3.148018648018649,3.1074660633484186,3.048368298368299,3.0370370370370345,2.929487179487179
Mets-Willets Point,,0.0,2.0,3.1969696969696972,3.1363636363636367,3.1515151515151523,3.1515151515151505,3.0909090909090917,3.099821746880572,3.121212121212121,3.065062388591798,3.045454545454543
Junction Blvd,,,0.0,1.1969696969696972,1.1515151515151514,1.166666666666666,1.166666666666666,1.121212121212121,1.1301247771835996,1.1515151515151523,1.109180035650624,1.09090909090909
74 St-Broadway,,,,0.0,-0.015151515151515138,0.0,0.0,-0.015151515151515582,-0.006238859180037082,0.015151515151515582,-0.00846702317290493,-0.015151515151513806
61 St-Woodside,,,,,0.0,0.0,0.0,0.0,0.0,0.015151515151515582,0.0,0.0
46 St-Bliss St,,,,,,0.0,0.0,0.0,0.0,0.015151515151514694,0.0,0.0
40 St-Lowery St,,,,,,,0.0,0.0,0.0,0.015151515151514694,0.0,0.0
33 St-Rawson St,,,,,,,,0.0,0.0,0.015151515151514694,0.0,0.0
Queensboro Plaza,,,,,,,,,0.0,0.015151515151515138,0.0,0.0
Court Sq,,,,,,,,,,0.0,-0.008021390374331583,0.0
Hunters Point Av,,,,,,,,,,,0.0,0.0
Vernon Blvd-Jackson Av,,,,,,,,,,,,0.0
