,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Liberty Av,Van Siclen Av,Shepherd Av,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Inwood-207 St,0.0,2.0,5.833333333333333,7.833333333333333,8.833333333333334,10.862068965517242,14.793103448275861,18.333333333333332,25.833333333333332,29.866666666666667,31.35483870967742,34.483333333333334,36.983333333333334,39.41935483870968,41.46666666666667,42.96666666666667,46.2,48.2,50.2,55.28333333333333,58.241379310344826,61.68333333333333,,,,66.87931034482759,69.51785714285714,70.56896551724138,72.43103448275862,73.93103448275862,75.8125,77.3125,78.8125,78.23076923076923,80.23076923076923,87.5,91.625,93.125,95.16666666666667,96.66666666666667,98.66666666666667,100.16666666666667,91.83333333333333,93.83333333333333,95.33333333333333,97.5
Dyckman St,2.0,0.0,2.4705882352941178,4.470588235294118,5.470588235294118,7.484848484848484,11.43939393939394,14.985294117647058,22.485294117647058,26.544117647058822,28.042857142857144,31.176470588235293,33.6764705882353,36.128571428571426,38.161764705882355,39.661764705882355,42.9264705882353,44.9264705882353,46.9264705882353,52.029411764705884,54.984848484848484,58.4264705882353,,,,63.696969696969695,66.359375,67.39393939393939,69.27272727272727,70.77272727272727,72.40625,73.90625,75.40625,75.3529411764706,77.3529411764706,84.75,89.04545454545455,90.54545454545455,92.54166666666667,94.04166666666667,96.04166666666667,97.54166666666667,89.0,91.0,92.5,95.16666666666667
190 St,4.5,2.5,0.0,2.0,3.0,5.0,8.954545454545455,12.5,19.985294117647058,24.044117647058822,25.542857142857144,28.676470588235293,31.176470588235293,33.628571428571426,35.661764705882355,37.161764705882355,40.4264705882353,42.4264705882353,44.4264705882353,49.529411764705884,52.484848484848484,55.9264705882353,,,,61.196969696969695,63.859375,64.89393939393939,66.77272727272727,68.27272727272727,69.90625,71.40625,72.90625,72.8529411764706,74.8529411764706,82.25,86.54545454545455,88.04545454545455,90.04166666666667,91.54166666666667,93.54166666666667,95.04166666666667,86.5,88.5,90.0,92.66666666666667
181 St,6.5,4.5,2.0,0.0,1.0,3.0,6.954545454545454,10.5,17.985294117647058,22.044117647058822,23.542857142857144,26.676470588235293,29.176470588235293,31.62857142857143,33.661764705882355,35.161764705882355,38.4264705882353,40.4264705882353,42.4264705882353,47.529411764705884,50.484848484848484,53.9264705882353,,,,59.196969696969695,61.859375,62.89393939393939,64.77272727272727,66.27272727272727,67.90625,69.40625,70.90625,70.8529411764706,72.8529411764706,80.25,84.54545454545455,86.04545454545455,88.04166666666667,89.54166666666667,91.54166666666667,93.04166666666667,84.5,86.5,88.0,90.66666666666667
175 St,7.5,5.5,3.0,1.0,0.0,2.0,5.954545454545454,9.5,16.985294117647058,21.044117647058822,22.542857142857144,25.676470588235293,28.176470588235293,30.62857142857143,32.661764705882355,34.161764705882355,37.4264705882353,39.4264705882353,41.4264705882353,46.529411764705884,49.484848484848484,52.9264705882353,,,,58.196969696969695,60.859375,61.89393939393939,63.77272727272727,65.27272727272727,66.90625,68.40625,69.90625,69.8529411764706,71.8529411764706,79.25,83.54545454545455,85.04545454545455,87.04166666666667,88.54166666666667,90.54166666666667,92.04166666666667,83.5,85.5,87.0,89.66666666666667
168 St,9.5,7.5,5.0,3.0,2.0,0.0,3.5,7.054054054054054,14.54054054054054,18.635135135135137,20.144736842105264,23.27027027027027,25.77027027027027,28.236842105263158,30.256756756756758,31.756756756756758,35.027027027027025,37.027027027027025,39.027027027027025,44.13513513513514,47.083333333333336,50.54054054054054,,,,55.80555555555556,58.48571428571429,59.513888888888886,61.40277777777778,62.90277777777778,64.40625,65.90625,67.40625,67.575,69.575,77.02631578947368,81.53571428571429,83.03571428571429,85.0,86.5,88.5,90.0,81.0,83.0,84.5,87.33333333333333
145 St,13.0,11.0,8.5,6.5,5.5,3.5,0.0,3.5,10.986486486486486,15.08108108108108,16.592105263157894,19.716216216216218,22.216216216216218,24.68421052631579,26.7027027027027,28.2027027027027,31.472972972972972,33.472972972972975,35.472972972972975,40.58108108108108,43.52777777777778,46.986486486486484,,,,52.25,54.92857142857143,55.958333333333336,57.84722222222222,59.34722222222222,60.84375,62.34375,63.84375,64.025,66.025,73.47368421052632,77.96428571428571,79.46428571428571,81.43333333333334,82.93333333333334,84.93333333333334,86.43333333333334,77.5,79.5,81.0,83.83333333333333
125 St,16.642857142857142,14.642857142857142,12.142857142857142,10.142857142857142,9.142857142857142,7.148148148148148,3.5,0.0,7.5,11.594594594594595,13.118421052631579,16.243243243243242,18.743243243243242,21.223684210526315,23.243243243243242,24.743243243243242,28.027027027027028,30.027027027027028,32.027027027027025,37.148648648648646,40.09722222222222,43.567567567567565,,,,48.833333333333336,51.51428571428571,52.55555555555556,54.44444444444444,55.94444444444444,57.46875,58.96875,60.46875,60.625,62.625,70.07894736842105,74.60714285714286,76.10714285714286,78.1,79.6,81.6,83.1,74.0,76.0,77.5,80.33333333333333
59 St-Columbus Circle,24.875,22.875,20.375,18.375,17.375,15.38888888888889,11.732142857142858,8.24074074074074,0.0,4.094594594594595,5.618421052631579,8.743243243243244,11.243243243243244,13.723684210526315,15.743243243243244,17.243243243243242,20.527027027027028,22.527027027027028,24.527027027027028,29.64864864864865,32.59722222222222,36.067567567567565,,,,41.333333333333336,44.01428571428571,45.05555555555556,46.94444444444444,48.44444444444444,49.96875,51.46875,52.96875,53.125,55.125,62.578947368421055,67.10714285714286,68.60714285714286,70.6,72.1,74.1,75.6,66.5,68.5,70.0,72.83333333333333
42 St-Port Authority Bus Terminal,27.375,25.375,22.875,20.875,19.875,17.88888888888889,14.232142857142858,10.74074074074074,2.5,0.0,1.486842105263158,4.594594594594595,7.094594594594595,9.592105263157896,11.594594594594595,13.094594594594595,16.33783783783784,18.33783783783784,20.33783783783784,25.45945945945946,28.38888888888889,31.87837837837838,,,,37.125,39.785714285714285,40.81944444444444,42.708333333333336,44.208333333333336,45.5625,47.0625,48.5625,49.025,51.025,58.473684210526315,63.035714285714285,64.53571428571429,66.56666666666666,68.06666666666666,70.06666666666666,71.56666666666666,62.125,64.125,65.625,68.5
