================================================================================
A Train - Weekday - Combined Directions
Travel Times (minutes)
================================================================================

Upper triangle (above diagonal): to Manhattan
Lower triangle (below diagonal): to Queens
Diagonal: Same station = 0 minutes

                                   Inwood-207 St  Dyckman St     190 St     181 St     175 St     168 St     145 St     125 St  59 St-Columbus Circle  42 St-Port Authority Bus Terminal  34 St-Penn Station      14 St  W 4 St-Wash Sq   Canal St  Chambers St  Fulton St    High St  Jay St-MetroTech  Hoyt-Schermerhorn Sts  Nostrand Av   Utica Av  Broadway Junction  Euclid Av   Grant Av      80 St      88 St  Rockaway Blvd    104 St    111 St  Ozone Park-Lefferts Blvd  Aqueduct-N Conduit Av  Aqueduct Racetrack  Howard Beach-JFK Airport  Broad Channel  Beach 67 St  Beach 60 St  Beach 44 St  Beach 36 St  Beach 25 St  Far Rockaway-Mott Av  Beach 90 St  Beach 98 St  Beach 105 St  Rockaway Park-Beach 116 St
Inwood-207 St                           0.000000    2.000000   5.833333   7.833333   8.833333  10.862069  14.793103  18.333333              25.833333                          29.866667           31.354839  34.483333       36.983333  39.419355    41.466667  42.966667  46.200000         48.200000              50.200000    55.283333  58.241379          61.683333  66.879310  69.517857  70.568966  72.431034      73.931034  75.81250  77.31250                  78.81250              78.230769           77.230769                 80.230769      87.500000    91.625000    93.125000    95.166667    96.666667    98.666667            100.166667    91.833333    93.833333     95.333333                   97.500000
Dyckman St                              2.000000    0.000000   2.470588   4.470588   5.470588   7.484848  11.439394  14.985294              22.485294                          26.544118           28.042857  31.176471       33.676471  36.128571    38.161765  39.661765  42.926471         44.926471              46.926471    52.029412  54.984848          58.426471  63.696970  66.359375  67.393939  69.272727      70.772727  72.40625  73.90625                  75.40625              75.352941           74.352941                 77.352941      84.750000    89.045455    90.545455    92.541667    94.041667    96.041667             97.541667    89.000000    91.000000     92.500000                   95.166667
190 St                                  4.500000    2.500000   0.000000   2.000000   3.000000   5.000000   8.954545  12.500000              19.985294                          24.044118           25.542857  28.676471       31.176471  33.628571    35.661765  37.161765  40.426471         42.426471              44.426471    49.529412  52.484848          55.926471  61.196970  63.859375  64.893939  66.772727      68.272727  69.90625  71.40625                  72.90625              72.852941           71.852941                 74.852941      82.250000    86.545455    88.045455    90.041667    91.541667    93.541667             95.041667    86.500000    88.500000     90.000000                   92.666667
181 St                                  6.500000    4.500000   2.000000   0.000000   1.000000   3.000000   6.954545  10.500000              17.985294                          22.044118           23.542857  26.676471       29.176471  31.628571    33.661765  35.161765  38.426471         40.426471              42.426471    47.529412  50.484848          53.926471  59.196970  61.859375  62.893939  64.772727      66.272727  67.90625  69.40625                  70.90625              70.852941           69.852941                 72.852941      80.250000    84.545455    86.045455    88.041667    89.541667    91.541667             93.041667    84.500000    86.500000     88.000000                   90.666667
175 St                                  7.500000    5.500000   3.000000   1.000000   0.000000   2.000000   5.954545   9.500000              16.985294                          21.044118           22.542857  25.676471       28.176471  30.628571    32.661765  34.161765  37.426471         39.426471              41.426471    46.529412  49.484848          52.926471  58.196970  60.859375  61.893939  63.772727      65.272727  66.90625  68.40625                  69.90625              69.852941           68.852941                 71.852941      79.250000    83.545455    85.045455    87.041667    88.541667    90.541667             92.041667    83.500000    85.500000     87.000000                   89.666667
168 St                                  9.500000    7.500000   5.000000   3.000000   2.000000   0.000000   3.500000   7.054054              14.540541                          18.635135           20.144737  23.270270       25.770270  28.236842    30.256757  31.756757  35.027027         37.027027              39.027027    44.135135  47.083333          50.540541  55.805556  58.485714  59.513889  61.402778      62.902778  64.40625  65.90625                  67.40625              67.575000           66.575000                 69.575000      77.026316    81.535714    83.035714    85.000000    86.500000    88.500000             90.000000    81.000000    83.000000     84.500000                   87.333333
145 St                                 13.000000   11.000000   8.500000   6.500000   5.500000   3.500000   0.000000   3.500000              10.986486                          15.081081           16.592105  19.716216       22.216216  24.684211    26.702703  28.202703  31.472973         33.472973              35.472973    40.581081  43.527778          46.986486  52.250000  54.928571  55.958333  57.847222      59.347222  60.84375  62.34375                  63.84375              64.025000           63.025000                 66.025000      73.473684    77.964286    79.464286    81.433333    82.933333    84.933333             86.433333    77.500000    79.500000     81.000000                   83.833333
125 St                                 16.642857   14.642857  12.142857  10.142857   9.142857   7.148148   3.500000   0.000000               7.500000                          11.594595           13.118421  16.243243       18.743243  21.223684    23.243243  24.743243  28.027027         30.027027              32.027027    37.148649  40.097222          43.567568  48.833333  51.514286  52.555556  54.444444      55.944444  57.46875  58.96875                  60.46875              60.625000           59.625000                 62.625000      70.078947    74.607143    76.107143    78.100000    79.600000    81.600000             83.100000    74.000000    76.000000     77.500000                   80.333333
59 St-Columbus Circle                  24.875000   22.875000  20.375000  18.375000  17.375000  15.388889  11.732143   8.240741               0.000000                           4.094595            5.618421   8.743243       11.243243  13.723684    15.743243  17.243243  20.527027         22.527027              24.527027    29.648649  32.597222          36.067568  41.333333  44.014286  45.055556  46.944444      48.444444  49.96875  51.46875                  52.96875              53.125000           52.125000                 55.125000      62.578947    67.107143    68.607143    70.600000    72.100000    74.100000             75.600000    66.500000    68.500000     70.000000                   72.833333
42 St-Port Authority Bus Terminal      27.375000   25.375000  22.875000  20.875000  19.875000  17.888889  14.232143  10.740741               2.500000                           0.000000            1.486842   4.594595        7.094595   9.592105    11.594595  13.094595  16.337838         18.337838              20.337838    25.459459  28.388889          31.878378  37.125000  39.785714  40.819444  42.708333      44.208333  45.56250  47.06250                  48.56250              49.025000           48.025000                 51.025000      58.473684    63.035714    64.535714    66.566667    68.066667    70.066667             71.566667    62.125000    64.125000     65.625000                   68.500000
