,Euclid Av,Shepherd Av,Van Siclen Av,Liberty Av,Broadway Junction,Utica Av,Nostrand Av,Hoyt-Schermerhorn Sts,Jay St-MetroTech,High St,Fulton St,Chambers St,Canal St,W 4 St-Wash Sq,14 St,34 St-Penn Station,42 St-Port Authority Bus Terminal,59 St-Columbus Circle,125 St,145 St,168 St,175 St,181 St,190 St,Dyckman St,Inwood-207 St
Euclid Av,0.0,1.5,3.0,4.5,5.2354651162790695,9.206395348837209,11.863372093023257,16.688953488372093,18.212209302325583,20.808139534883722,23.808139534883722,25.430232558139537,27.50581395348837,30.276162790697676,32.281976744186046,35.29651162790697,36.30232558139535,39.729651162790695,48.63953488372093,52.21511627906977,55.97093023255814,57.982142857142854,58.982142857142854,60.982142857142854,63.336309523809526,65.33742331288343
Shepherd Av,1.5,0.0,1.5,3.0,5.0,11.222222222222221,14.722222222222221,21.296296296296298,22.796296296296298,25.90740740740741,28.90740740740741,30.40740740740741,32.888888888888886,36.351851851851855,38.388888888888886,41.81481481481482,42.851851851851855,46.425925925925924,59.48148148148148,63.46296296296296,67.96296296296296,69.96296296296296,70.96296296296296,72.96296296296296,74.98148148148148,76.98148148148148
Van Siclen Av,3.5,2.0,0.0,1.5,3.5,9.722222222222221,13.222222222222221,19.796296296296298,21.296296296296298,24.40740740740741,27.40740740740741,28.90740740740741,31.38888888888889,34.851851851851855,36.888888888888886,40.31481481481482,41.351851851851855,44.925925925925924,57.98148148148148,61.96296296296296,66.46296296296296,68.46296296296296,69.46296296296296,71.46296296296296,73.48148148148148,75.48148148148148
Liberty Av,5.0,3.5,1.5,0.0,2.0,8.222222222222221,11.722222222222221,18.296296296296298,19.796296296296298,22.90740740740741,25.90740740740741,27.40740740740741,29.88888888888889,33.351851851851855,35.388888888888886,38.81481481481482,39.851851851851855,43.425925925925924,56.48148148148148,60.46296296296296,64.96296296296296,66.96296296296296,67.96296296296296,69.96296296296296,71.98148148148148,73.98148148148148
Broadway Junction,5.023255813953488,5.5,3.5,2.0,0.0,3.73546511627907,6.392441860465116,11.218023255813954,12.741279069767442,15.337209302325581,18.337209302325583,19.959302325581394,22.03488372093023,24.805232558139537,26.811046511627907,29.825581395348838,30.83139534883721,34.258720930232556,43.16860465116279,46.74418604651163,50.5,52.5,53.5,55.5,57.854166666666664,59.84355828220859
Utica Av,8.819767441860465,10.5,8.5,7.0,3.7267441860465116,0.0,2.6569767441860463,7.482558139534884,9.005813953488373,11.601744186046512,14.601744186046512,16.223837209302324,18.299418604651162,21.069767441860463,23.075581395348838,26.09011627906977,27.09593023255814,30.523255813953487,39.43313953488372,43.008720930232556,46.76453488372093,48.75892857142857,49.75892857142857,51.75892857142857,54.11309523809524,56.09509202453988
Nostrand Av,11.563953488372093,14.0,12.0,10.5,6.47093023255814,2.738372093023256,0.0,4.825581395348837,6.348837209302325,8.944767441860465,11.944767441860465,13.56686046511628,15.642441860465116,18.412790697674417,20.41860465116279,23.433139534883722,24.438953488372093,27.86627906976744,36.776162790697676,40.35174418604651,44.10755813953488,46.098214285714285,47.098214285714285,49.098214285714285,51.45238095238095,53.42944785276074
Hoyt-Schermerhorn Sts,16.834302325581394,20.596153846153847,18.596153846153847,17.096153846153847,11.741279069767442,8.008720930232558,5.270348837209302,0.0,1.5232558139534884,4.119186046511628,7.119186046511628,8.741279069767442,10.81686046511628,13.587209302325581,15.593023255813954,18.607558139534884,19.613372093023255,23.040697674418606,31.950581395348838,35.526162790697676,39.281976744186046,41.26488095238095,42.26488095238095,44.26488095238095,46.61904761904762,48.58588957055215
Jay St-MetroTech,18.677325581395348,22.096153846153847,20.096153846153847,18.596153846153847,13.584302325581396,9.851744186046512,7.113372093023256,1.8430232558139534,0.0,2.5,5.5,7.122093023255814,9.19767441860465,11.968023255813954,13.973837209302326,16.988372093023255,17.99418604651163,21.421511627906977,30.33139534883721,33.906976744186046,37.66279069767442,39.642857142857146,40.642857142857146,42.642857142857146,44.99702380952381,46.9601226993865
High St,20.677325581395348,24.096153846153847,22.096153846153847,20.596153846153847,15.584302325581396,11.851744186046512,9.113372093023257,3.8430232558139537,2.0,0.0,3.0,4.622093023255814,6.6976744186046515,9.468023255813954,11.473837209302326,14.488372093023257,15.494186046511627,18.921511627906977,27.83139534883721,31.406976744186046,35.16279069767442,37.142857142857146,38.142857142857146,40.142857142857146,42.49702380952381,44.4601226993865
Fulton St,23.732558139534884,27.096153846153847,25.096153846153847,23.596153846153847,18.63953488372093,14.906976744186046,12.168604651162791,6.898255813953488,5.055232558139535,3.0552325581395348,0.0,1.622093023255814,3.697674418604651,6.468023255813954,8.473837209302326,11.488372093023257,12.494186046511627,15.921511627906977,24.83139534883721,28.406976744186046,32.16279069767442,34.142857142857146,35.142857142857146,37.142857142857146,39.49702380952381,41.4601226993865
Chambers St,25.232558139534884,28.596153846153847,26.596153846153847,25.096153846153847,20.13953488372093,16.406976744186046,13.668604651162791,8.398255813953488,6.555232558139535,4.555232558139535,1.5,0.0,2.0755813953488373,4.84593023255814,6.851744186046512,9.866279069767442,10.872093023255815,14.299418604651162,23.209302325581394,26.78488372093023,30.540697674418606,32.529761904761905,33.529761904761905,35.529761904761905,37.88392857142857,39.85889570552147
Canal St,27.232558139534884,30.596153846153847,28.596153846153847,27.096153846153847,22.13953488372093,18.406976744186046,15.668604651162791,10.398255813953488,8.555232558139535,6.555232558139535,3.5,2.0,0.0,2.744186046511628,4.75,7.7645348837209305,8.770348837209303,12.19767441860465,21.107558139534884,24.683139534883722,28.438953488372093,30.43154761904762,31.43154761904762,33.43154761904762,35.785714285714285,37.76687116564417
W 4 St-Wash Sq,30.22093023255814,36.32692307692308,34.32692307692308,32.82692307692308,25.127906976744185,21.3953488372093,18.656976744186046,13.386627906976743,11.543604651162791,9.543604651162791,6.488372093023256,4.988372093023256,2.7267441860465116,0.0,2.005813953488372,5.020348837209302,6.026162790697675,9.453488372093023,18.363372093023255,21.938953488372093,25.694767441860463,27.69047619047619,28.69047619047619,30.69047619047619,33.044642857142854,35.033742331288344
14 St,32.51744186046512,38.82692307692308,36.82692307692308,35.32692307692308,27.424418604651162,23.691860465116278,20.953488372093023,15.68313953488372,13.840116279069768,11.840116279069768,8.784883720930232,7.284883720930233,5.023255813953488,2.296511627906977,0.0,3.01453488372093,4.020348837209302,7.4476744186046515,16.357558139534884,19.933139534883722,23.688953488372093,25.68452380952381,26.68452380952381,28.68452380952381,31.038690476190474,33.02760736196319
34 St-Penn Station,35.747093023255815,41.86538461538461,39.86538461538461,38.36538461538461,30.65406976744186,26.921511627906977,24.183139534883722,18.912790697674417,17.069767441860463,15.069767441860465,12.01453488372093,10.51453488372093,8.252906976744185,5.526162790697675,3.229651162790698,0.0,1.005813953488372,4.433139534883721,13.343023255813954,16.91860465116279,20.674418604651162,22.669642857142858,23.669642857142858,25.669642857142858,28.023809523809526,30.012269938650306
42 St-Port Authority Bus Terminal,37.04360465116279,43.36538461538461,41.36538461538461,39.86538461538461,31.950581395348838,28.218023255813954,25.4796511627907,20.209302325581394,18.36627906976744,16.36627906976744,13.311046511627907,11.811046511627907,9.549418604651162,6.8226744186046515,4.526162790697675,1.2965116279069768,0.0,2.7122093023255816,11.622093023255815,15.19767441860465,18.953488372093023,20.967261904761905,21.967261904761905,23.967261904761905,26.321428571428573,28.328220858895705
59 St-Columbus Circle,40.97093023255814,47.36538461538461,45.36538461538461,43.86538461538461,35.877906976744185,32.145348837209305,29.406976744186046,24.136627906976745,22.29360465116279,20.29360465116279,17.238372093023255,15.738372093023257,13.476744186046512,10.75,8.453488372093023,5.223837209302325,3.9040697674418605,0.0,8.796511627906977,12.372093023255815,16.127906976744185,18.145833333333332,19.145833333333332,21.145833333333332,23.5,25.515337423312882
125 St,49.229651162790695,59.86538461538461,57.86538461538461,56.36538461538461,44.13662790697674,40.40406976744186,37.6656976744186,32.395348837209305,30.552325581395348,28.552325581395348,25.497093023255815,23.997093023255815,21.73546511627907,19.00872093023256,16.712209302325583,13.482558139534884,12.162790697674419,8.258720930232558,0.0,3.5755813953488373,7.3313953488372094,9.339285714285714,10.339285714285714,12.339285714285714,14.693452380952381,16.699386503067483
145 St,52.51744186046512,63.86538461538461,61.86538461538461,60.36538461538461,47.424418604651166,43.69186046511628,40.95348837209303,35.68313953488372,33.84011627906977,31.84011627906977,28.78488372093023,27.28488372093023,25.023255813953487,22.296511627906977,20.0,16.7703488372093,15.450581395348838,11.546511627906977,3.2877906976744184,0.0,3.6511627906976742,5.654761904761905,6.654761904761905,8.654761904761905,11.008928571428571,13.00920245398773
