,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Inwood-207 St,0.0,2.0,6.211538461538462,8.211538461538462,9.211538461538462,11.166666666666666,16.425925925925927,20.365384615384617,31.903846153846153,35.90384615384615,37.40384615384615,40.24074074074074,42.57692307692308,46.28846153846154,49.27777777777778,50.77777777777778,53.31481481481482,55.31481481481482,56.94444444444444,62.80357142857143,65.67241379310344,70.01785714285714,76.01724137931035,77.75,78.84482758620689,80.53448275862068,82.03448275862068,76.6875,78.1875,79.6875,88.22727272727273,90.22727272727273,96.56521739130434,100.80434782608695,102.30434782608695,104.30434782608695,105.80434782608695,107.3913043478261,108.8913043478261,89.5,91.0,93.0,96.75
Dyckman St,2.0,0.0,2.4615384615384617,4.461538461538462,5.461538461538462,7.444444444444445,12.703703703703704,16.653846153846153,28.23076923076923,32.23076923076923,33.73076923076923,36.592592592592595,38.94230769230769,42.65384615384615,45.666666666666664,47.166666666666664,49.74074074074074,51.74074074074074,53.370370370370374,59.25,62.13793103448276,66.5,72.48275862068965,74.23333333333333,75.34482758620689,77.03448275862068,78.53448275862068,73.5625,75.0625,76.5625,84.61363636363636,86.61363636363636,92.93478260869566,97.1304347826087,98.6304347826087,100.6304347826087,102.1304347826087,103.71739130434783,105.21739130434783,86.5,88.0,90.0,93.25
190 St,4.222222222222222,2.2115384615384617,0.0,2.0,3.0,5.0,10.25925925925926,14.211538461538462,25.807692307692307,29.807692307692307,31.307692307692307,34.166666666666664,36.51923076923077,40.23076923076923,43.24074074074074,44.74074074074074,47.31481481481482,49.31481481481482,50.94444444444444,56.82142857142857,59.706896551724135,64.07142857142857,70.05172413793103,71.8,72.91379310344827,74.60344827586206,76.10344827586206,71.1875,72.6875,74.1875,82.1590909090909,84.1590909090909,90.47826086956522,94.67391304347827,96.17391304347827,98.17391304347827,99.67391304347827,101.26086956521739,102.76086956521739,84.0,85.5,87.5,90.75
181 St,6.222222222222222,4.211538461538462,2.0,0.0,1.0,3.0,8.25925925925926,12.211538461538462,23.807692307692307,27.807692307692307,29.307692307692307,32.166666666666664,34.51923076923077,38.23076923076923,41.24074074074074,42.74074074074074,45.31481481481482,47.31481481481482,48.94444444444444,54.82142857142857,57.706896551724135,62.07142857142857,68.05172413793103,69.8,70.91379310344827,72.60344827586206,74.10344827586206,69.1875,70.6875,72.1875,80.1590909090909,82.1590909090909,88.47826086956522,92.67391304347827,94.17391304347827,96.17391304347827,97.67391304347827,99.26086956521739,100.76086956521739,82.0,83.5,85.5,88.75
175 St,7.222222222222222,5.211538461538462,3.0,1.0,0.0,2.0,7.2592592592592595,11.211538461538462,22.807692307692307,26.807692307692307,28.307692307692307,31.166666666666668,33.51923076923077,37.23076923076923,40.24074074074074,41.74074074074074,44.31481481481482,46.31481481481482,47.94444444444444,53.82142857142857,56.706896551724135,61.07142857142857,67.05172413793103,68.8,69.91379310344827,71.60344827586206,73.10344827586206,68.1875,69.6875,71.1875,79.1590909090909,81.1590909090909,87.47826086956522,91.67391304347827,93.17391304347827,95.17391304347827,96.67391304347827,98.26086956521739,99.76086956521739,81.0,82.5,84.5,87.75
168 St,9.222222222222221,7.211538461538462,5.0,3.0,2.0,0.0,4.388888888888889,8.346153846153847,19.98076923076923,23.98076923076923,25.48076923076923,28.37037037037037,30.73076923076923,34.44230769230769,37.48148148148148,38.98148148148148,41.592592592592595,43.592592592592595,45.22222222222222,51.125,54.03448275862069,58.410714285714285,64.41379310344827,66.18333333333334,67.3103448275862,69.0,70.5,65.9375,67.4375,68.9375,76.45454545454545,78.45454545454545,84.80434782608695,88.93478260869566,90.43478260869566,92.43478260869566,93.93478260869566,95.52173913043478,97.02173913043478,79.0,80.5,82.5,85.25
145 St,13.277777777777779,11.288461538461538,9.076923076923077,7.092592592592593,6.092592592592593,4.092592592592593,0.0,3.9038461538461537,15.576923076923077,19.576923076923077,21.076923076923077,24.0,26.365384615384617,30.076923076923077,33.148148148148145,34.648148148148145,37.2962962962963,39.2962962962963,40.925925925925924,46.857142857142854,49.793103448275865,54.17857142857143,60.206896551724135,62.0,63.13793103448276,64.82758620689656,66.32758620689656,62.1875,63.6875,65.1875,72.1590909090909,74.1590909090909,80.54347826086956,84.67391304347827,86.17391304347827,88.17391304347827,89.67391304347827,91.26086956521739,92.76086956521739,75.5,77.0,79.0,81.75
125 St,17.055555555555557,15.076923076923077,12.865384615384615,10.88888888888889,9.88888888888889,7.888888888888889,3.8076923076923075,0.0,11.692307692307692,15.692307692307692,17.192307692307693,20.12962962962963,22.5,26.21153846153846,29.296296296296298,30.796296296296298,33.46296296296296,35.46296296296296,37.092592592592595,43.035714285714285,45.98275862068966,50.375,56.41379310344828,58.21666666666667,59.36206896551724,61.05172413793103,62.55172413793103,58.625,60.125,61.625,68.31818181818181,70.31818181818181,76.71739130434783,80.84782608695652,82.34782608695652,84.34782608695652,85.84782608695652,87.43478260869566,88.93478260869566,72.0,73.5,75.5,78.25
59 St-Columbus Circle,27.555555555555557,25.673076923076923,23.46153846153846,21.555555555555557,20.555555555555557,18.555555555555557,14.576923076923077,10.76923076923077,0.0,4.0,5.5,8.592592592592593,11.0,14.711538461538462,17.944444444444443,19.444444444444443,22.296296296296298,24.296296296296298,25.925925925925927,32.0,35.06896551724138,39.517857142857146,45.672413793103445,47.583333333333336,48.793103448275865,50.48275862068966,51.98275862068966,49.9375,51.4375,52.9375,57.20454545454545,59.20454545454545,65.76086956521739,69.8913043478261,71.3913043478261,73.3913043478261,74.8913043478261,76.47826086956522,77.97826086956522,64.5,66.0,68.0,70.75
42 St-Port Authority Bus Terminal,31.333333333333332,29.5,27.28846153846154,25.37037037037037,24.37037037037037,22.37037037037037,18.442307692307693,14.634615384615385,3.1538461538461537,0.0,1.4230769230769231,4.537037037037037,6.9423076923076925,10.653846153846153,13.907407407407407,15.407407407407407,18.27777777777778,20.27777777777778,21.90740740740741,28.0,31.086206896551722,35.535714285714285,41.706896551724135,43.63333333333333,44.8448275862069,46.53448275862069,48.03448275862069,46.3125,47.8125,49.3125,53.15909090909091,55.15909090909091,61.71739130434783,65.84782608695652,67.34782608695652,69.34782608695652,70.84782608695652,72.43478260869566,73.93478260869566,61.0,62.5,64.5,66.75
