,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Inwood-207 St,0.0,2.0,5.638297872340425,7.638297872340425,8.638297872340425,10.638297872340425,14.854166666666666,17.872340425531913,25.372340425531913,29.0625,30.148936170212767,33.56382978723404,35.635416666666664,38.148936170212764,40.148936170212764,41.648936170212764,44.62765957446808,46.62765957446808,48.62765957446808,53.648936170212764,56.148936170212764,59.670212765957444,64.15625,66.5625,68.05319148936171,69.55319148936171,71.05208333333333,73.125,74.625,76.08,77.02173913043478,79.02173913043478,86.02173913043478,90.5,92.22916666666667,94.17391304347827,95.67391304347827,97.67391304347827,99.33333333333333,,,,
Dyckman St,2.0,0.0,2.5,4.5,5.5,7.5,11.71875,14.73404255319149,22.23404255319149,25.927083333333332,27.01063829787234,30.425531914893618,32.5,35.01063829787234,37.01063829787234,38.51063829787234,41.48936170212766,43.48936170212766,45.48936170212766,50.51063829787234,53.01063829787234,56.54255319148936,61.03125,63.4375,64.93617021276596,66.43617021276596,67.9375,70.0,71.5,72.96,73.91304347826087,75.91304347826087,82.91304347826087,87.375,89.10416666666667,91.04347826086956,92.54347826086956,94.54347826086956,96.16666666666667,,,,
190 St,4.5,2.5,0.0,2.0,3.0,5.0,9.21875,12.23404255319149,19.73404255319149,23.427083333333332,24.51063829787234,27.925531914893618,30.0,32.51063829787234,34.51063829787234,36.01063829787234,38.98936170212766,40.98936170212766,42.98936170212766,48.01063829787234,50.51063829787234,54.04255319148936,58.53125,60.9375,62.43617021276596,63.93617021276596,65.4375,67.5,69.0,70.46,71.41304347826087,73.41304347826087,80.41304347826087,84.875,86.60416666666667,88.54347826086956,90.04347826086956,92.04347826086956,93.66666666666667,,,,
181 St,6.5,4.5,2.0,0.0,1.0,3.0,7.21875,10.23404255319149,17.73404255319149,21.427083333333332,22.51063829787234,25.925531914893618,28.0,30.51063829787234,32.51063829787234,34.01063829787234,36.98936170212766,38.98936170212766,40.98936170212766,46.01063829787234,48.51063829787234,52.04255319148936,56.53125,58.9375,60.43617021276596,61.93617021276596,63.4375,65.5,67.0,68.46,69.41304347826087,71.41304347826087,78.41304347826087,82.875,84.60416666666667,86.54347826086956,88.04347826086956,90.04347826086956,91.66666666666667,,,,
175 St,7.5,5.5,3.0,1.0,0.0,2.0,6.21875,9.23404255319149,16.73404255319149,20.427083333333332,21.51063829787234,24.925531914893618,27.0,29.51063829787234,31.51063829787234,33.01063829787234,35.98936170212766,37.98936170212766,39.98936170212766,45.01063829787234,47.51063829787234,51.04255319148936,55.53125,57.9375,59.43617021276596,60.93617021276596,62.4375,64.5,66.0,67.46,68.41304347826087,70.41304347826087,77.41304347826087,81.875,83.60416666666667,85.54347826086956,87.04347826086956,89.04347826086956,90.66666666666667,,,,
168 St,9.5,7.5,5.0,3.0,2.0,0.0,3.5,6.5,14.0,17.708333333333332,18.77659574468085,22.19148936170213,24.28125,26.77659574468085,28.77659574468085,30.27659574468085,33.255319148936174,35.255319148936174,37.255319148936174,42.276595744680854,44.776595744680854,48.308510638297875,52.8125,55.21875,56.712765957446805,58.212765957446805,59.729166666666664,61.770833333333336,63.270833333333336,64.76,65.71739130434783,67.71739130434783,74.71739130434783,79.16666666666667,80.89583333333333,82.82608695652173,84.32608695652173,86.32608695652173,87.89583333333333,,,,
145 St,13.0,11.0,8.5,6.5,5.5,3.5,0.0,3.0,10.5,14.208333333333334,15.27659574468085,18.69148936170213,20.78125,23.27659574468085,25.27659574468085,26.77659574468085,29.75531914893617,31.75531914893617,33.755319148936174,38.776595744680854,41.276595744680854,44.808510638297875,49.3125,51.71875,53.212765957446805,54.712765957446805,56.229166666666664,58.270833333333336,59.770833333333336,61.26,62.21739130434783,64.21739130434783,71.21739130434783,75.66666666666667,77.39583333333333,79.32608695652173,80.82608695652173,82.82608695652173,84.39583333333333,,,,
125 St,16.597826086956523,14.597826086956522,12.097826086956522,10.097826086956522,9.097826086956522,7.095744680851064,3.5,0.0,7.5,11.208333333333334,12.27659574468085,15.691489361702128,17.78125,20.27659574468085,22.27659574468085,23.77659574468085,26.75531914893617,28.75531914893617,30.75531914893617,35.776595744680854,38.276595744680854,41.808510638297875,46.3125,48.71875,50.212765957446805,51.712765957446805,53.229166666666664,55.270833333333336,56.770833333333336,58.26,59.21739130434783,61.21739130434783,68.21739130434783,72.66666666666667,74.39583333333333,76.32608695652173,77.82608695652173,79.82608695652173,81.39583333333333,,,,
59 St-Columbus Circle,24.608695652173914,22.597826086956523,20.097826086956523,18.097826086956523,17.097826086956523,15.095744680851064,11.5,8.0,0.0,3.7083333333333335,4.776595744680851,8.191489361702128,10.28125,12.77659574468085,14.77659574468085,16.27659574468085,19.25531914893617,21.25531914893617,23.25531914893617,28.27659574468085,30.77659574468085,34.308510638297875,38.8125,41.21875,42.712765957446805,44.212765957446805,45.729166666666664,47.770833333333336,49.270833333333336,50.76,51.71739130434783,53.71739130434783,60.71739130434783,65.16666666666667,66.89583333333333,68.82608695652173,70.32608695652173,72.32608695652173,73.89583333333333,,,,
42 St-Port Authority Bus Terminal,27.108695652173914,25.097826086956523,22.597826086956523,20.597826086956523,19.597826086956523,17.595744680851062,14.0,10.5,2.5,0.0,1.0851063829787233,4.5,6.59375,9.085106382978724,11.085106382978724,12.585106382978724,15.595744680851064,17.595744680851062,19.595744680851062,24.606382978723403,27.106382978723403,30.617021276595743,35.125,37.53125,39.04255319148936,40.54255319148936,42.0625,44.104166666666664,45.604166666666664,47.08,48.04347826086956,50.04347826086956,57.04347826086956,61.5,63.229166666666664,65.15217391304348,66.65217391304348,68.65217391304348,70.10416666666667,,,,
