,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Inwood-207 St,0.0,0.0,0.1950354609929077,0.1950354609929077,0.19503546099290858,0.22377109317681665,-0.06106321839080486,0.460992907801419,0.460992907801419,0.8041666666666671,1.2059025394646525,0.9195035460992926,1.34791666666667,1.2704186684969159,1.3177304964539047,1.3177304964539047,1.5723404255319195,1.5723404255319195,1.5723404255319195,1.6343971631205676,2.092443140132062,2.0131205673758856,2.723060344827587,2.955357142857139,2.5157740278796723,2.8778429933969107,2.8789511494252906,2.6875,2.6875,2.7325000000000017,1.209030100334445,1.209030100334445,1.4782608695652186,1.125,0.8958333333333286,0.9927536231884062,0.9927536231884062,0.9927536231884062,0.8333333333333428,,,,
Dyckman St,0.0,0.0,-0.02941176470588225,-0.02941176470588225,-0.02941176470588225,-0.015151515151515582,-0.27935606060606055,0.2512515644555684,0.2512515644555684,0.6170343137254903,1.0322188449848042,0.7509386733416754,1.176470588235297,1.117933130699086,1.1511264080100148,1.1511264080100148,1.4371088861076373,1.4371088861076373,1.4371088861076373,1.5187734668335438,1.9742101869761441,1.883917396745936,2.6657196969696955,2.921875,2.4577691811734326,2.836557059961308,2.8352272727272663,2.40625,2.40625,2.4462500000000063,1.4398976982097196,1.4398976982097196,1.8369565217391255,1.6704545454545467,1.4412878787878753,1.4981884057971087,1.4981884057971087,1.4981884057971087,1.375,,,,
190 St,0.0,0.0,0.0,0.0,0.0,0.0,-0.26420454545454497,0.2659574468085104,0.2512515644555684,0.6170343137254903,1.0322188449848042,0.7509386733416754,1.1764705882352935,1.117933130699086,1.1511264080100148,1.1511264080100148,1.4371088861076373,1.4371088861076373,1.4371088861076373,1.5187734668335438,1.9742101869761441,1.883917396745936,2.6657196969696955,2.921875,2.4577691811734326,2.836557059961308,2.8352272727272663,2.40625,2.40625,2.4462500000000063,1.4398976982097196,1.4398976982097196,1.8369565217391255,1.6704545454545467,1.4412878787878753,1.4981884057971087,1.4981884057971087,1.4981884057971087,1.375,,,,
181 St,0.0,0.0,0.0,0.0,0.0,0.0,-0.26420454545454586,0.2659574468085104,0.2512515644555684,0.6170343137254903,1.0322188449848042,0.7509386733416754,1.1764705882352935,1.1179331306990896,1.1511264080100148,1.1511264080100148,1.4371088861076373,1.4371088861076373,1.4371088861076373,1.5187734668335438,1.9742101869761441,1.883917396745936,2.6657196969696955,2.921875,2.4577691811734326,2.836557059961308,2.8352272727272663,2.40625,2.40625,2.4462500000000063,1.4398976982097196,1.4398976982097196,1.8369565217391255,1.6704545454545467,1.4412878787878753,1.4981884057971087,1.4981884057971087,1.4981884057971087,1.375,,,,
175 St,0.0,0.0,0.0,0.0,0.0,0.0,-0.26420454545454586,0.2659574468085104,0.2512515644555684,0.6170343137254903,1.0322188449848042,0.7509386733416754,1.1764705882352935,1.1179331306990896,1.1511264080100148,1.1511264080100148,1.4371088861076373,1.4371088861076373,1.4371088861076373,1.5187734668335438,1.9742101869761441,1.883917396745936,2.6657196969696955,2.921875,2.4577691811734326,2.836557059961315,2.8352272727272663,2.40625,2.40625,2.4462500000000063,1.4398976982097196,1.4398976982097196,1.8369565217391255,1.6704545454545467,1.4412878787878753,1.4981884057971087,1.4981884057971087,1.4981884057971087,1.375,,,,
168 St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5540540540540544,0.5405405405405403,0.9268018018018047,1.368141097424413,1.0787809085681417,1.4890202702702702,1.4602463605823068,1.4801610120759072,1.4801610120759072,1.7717078780908508,1.7717078780908508,1.7717078780908508,1.8585393904542826,2.3067375886524815,2.2320299022426653,2.993055555555557,3.2669642857142875,2.8011229314420802,3.190011820330973,3.1736111111111143,2.6354166666666643,2.6354166666666643,2.646249999999995,1.857608695652175,1.857608695652175,2.308924485125857,2.3690476190476204,2.139880952380963,2.173913043478265,2.173913043478265,2.173913043478265,2.1041666666666714,,,,
145 St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.48648648648648596,0.8727477477477468,1.3155095184770431,1.024726854514089,1.4349662162162176,1.4076147816349405,1.426106958021851,1.426106958021851,1.7176538240368018,1.7176538240368053,1.7176538240368018,1.8044853364002265,2.2511820330969243,2.177975848188609,2.9375,3.2098214285714306,2.74556737588653,3.134456264775416,3.118055555555557,2.5729166666666643,2.5729166666666643,2.583750000000002,1.8076086956521777,1.8076086956521777,2.256292906178487,2.297619047619037,2.0684523809523796,2.1072463768116023,2.1072463768116023,2.1072463768116023,2.0375000000000085,,,,
125 St,0.045031055900619066,0.04503105590062084,0.04503105590062084,0.04503105590062084,0.04503105590062084,0.05240346729708367,0.0,0.0,0.0,0.3862612612612608,0.8418253079507281,0.5517538815411136,0.9619932432432421,0.9470884658454644,0.9666474985623914,0.9666474985623914,1.271707878090858,1.271707878090858,1.2717078780908544,1.3720529039677913,1.8206264775413672,1.7590569292696898,2.5208333333333357,2.7955357142857125,2.3427895981087516,2.7316784869976374,2.7152777777777786,2.1979166666666643,2.1979166666666643,2.208750000000002,1.407608695652172,1.407608695652172,1.861556064073227,1.9404761904761898,1.7113095238095326,1.7739130434782595,1.7739130434782595,1.7739130434782595,1.7041666666666657,,,,
59 St-Columbus Circle,0.26630434782608603,0.2771739130434767,0.2771739130434767,0.2771739130434767,0.2771739130434767,0.29314420803782504,0.23214285714285765,0.24074074074074048,0.0,0.38626126126126126,0.8418253079507281,0.5517538815411154,0.9619932432432439,0.9470884658454644,0.9666474985623932,0.9666474985623914,1.271707878090858,1.271707878090858,1.271707878090858,1.3720529039677984,1.8206264775413707,1.7590569292696898,2.5208333333333357,2.7955357142857125,2.3427895981087516,2.7316784869976374,2.7152777777777786,2.1979166666666643,2.1979166666666643,2.208750000000002,1.407608695652172,1.407608695652172,1.861556064073227,1.9404761904761898,1.7113095238095326,1.7739130434782595,1.7739130434782595,1.7739130434782595,1.7041666666666657,,,,
42 St-Port Authority Bus Terminal,0.26630434782608603,0.2771739130434767,0.2771739130434767,0.2771739130434767,0.2771739130434767,0.2931442080378268,0.23214285714285765,0.24074074074074048,0.0,0.0,0.40173572228443466,0.09459459459459474,0.5008445945945947,0.5069988801791716,0.5094882116158708,0.5094882116158708,0.7420931569867744,0.7420931569867761,0.7420931569867761,0.8530764807360569,1.2825059101654865,1.261357101782636,2.0,2.2544642857142847,1.7768912529550818,2.1657801418439746,2.1458333333333357,1.4583333333333357,1.4583333333333357,1.4825000000000017,0.9815217391304358,0.9815217391304358,1.4302059496567523,1.5357142857142847,1.3065476190476275,1.414492753623179,1.414492753623179,1.414492753623179,1.4624999999999915,,,,
34 St-Penn Station,0.44642857142857295,0.45729813664596364,0.45729813664596364,0.45729813664596364,0.45729813664596364,0.48817966903073184,0.4479813664596275,0.4806763285024154,0.2399355877616749,0.0,0.0,-0.32029902242668173,0.09459459459459474,0.09210526315789558,0.09459459459459474,0.09459459459459474,0.35135135135135087,0.35135135135135087,0.35135135135135087,0.48648648648648773,0.9166666666666679,0.9189189189189193,1.6666666666666643,1.9223214285714292,1.4601063829787222,1.848995271867608,1.83680555555555,1.1770833333333357,1.1770833333333357,1.2162500000000023,0.6836956521739168,0.6836956521739168,1.135011441647599,1.2738095238095184,1.044642857142854,1.1884057971014528,1.1884057971014528,1.1884057971014528,1.25,,,,
14 St,0.6071428571428541,0.6180124223602483,0.6180124223602483,0.6180124223602483,0.6180124223602483,0.6548463356973997,0.608695652173914,0.6473429951690832,0.40660225442834186,0.1607142857142856,0.1607142857142856,0.0,0.40625,0.4148936170212769,0.4148936170212769,0.41489361702127603,0.6474985623921796,0.6474985623921796,0.6474985623921796,0.7584818861414604,1.185283687943265,1.1667625071880394,1.9027777777777786,2.1544642857142833,1.6796690307328603,2.068557919621753,2.0486111111111143,1.3645833333333357,1.3645833333333357,1.3887500000000017,0.8815217391304344,0.8815217391304344,1.3249427917620196,1.4285714285714306,1.1994047619047663,1.3144927536231918,1.3144927536231918,1.3144927536231847,1.3624999999999972,,,,
W 4 St-Wash Sq,0.6071428571428541,0.6180124223602448,0.6180124223602483,0.6180124223602483,0.6180124223602483,0.6548463356973997,0.608695652173914,0.6473429951690832,0.40660225442834097,0.1607142857142856,0.1607142857142856,0.0,0.0,0.0,0.0,0.0,0.25675675675675613,0.25675675675675613,0.25675675675675613,0.3918918918918912,0.8194444444444429,0.8243243243243228,1.5694444444444429,1.8223214285714278,1.3628841607565008,1.7517730496453865,1.7395833333333286,1.0833333333333357,1.0833333333333357,1.1225000000000023,0.5836956521739154,0.5836956521739154,1.029748283752859,1.1666666666666643,0.9375,1.0884057971014514,1.0884057971014514,1.0884057971014514,1.1499999999999986,,,,
Canal St,0.5962732919254634,0.6180124223602448,0.6180124223602448,0.6180124223602483,0.6180124223602483,0.6548463356973997,0.608695652173914,0.6473429951690832,0.40660225442834097,0.16071428571428648,0.1607142857142856,0.0,0.0,0.0,0.0,0.0,0.256756756756757,0.25675675675675613,0.25675675675675613,0.3918918918918912,0.8194444444444429,0.8243243243243228,1.5694444444444429,1.8223214285714278,1.3628841607565008,1.7517730496453865,1.7395833333333286,1.0833333333333357,1.0833333333333357,1.1225000000000023,0.5836956521739154,0.5836956521739154,1.029748283752859,1.1666666666666643,0.9375,1.0884057971014514,1.0884057971014514,1.0884057971014514,1.1500000000000057,,,,
Chambers St,0.5962732919254634,0.6180124223602448,0.6180124223602448,0.6180124223602448,0.6180124223602483,0.6548463356973997,0.608695652173914,0.6473429951690832,0.40660225442834097,0.16071428571428648,0.16071428571428648,0.0,0.0,0.0,0.0,0.0,0.256756756756757,0.256756756756757,0.25675675675675613,0.3918918918918912,0.8194444444444429,0.8243243243243228,1.5694444444444429,1.8223214285714278,1.3628841607565008,1.75177304964539,1.7395833333333321,1.0833333333333357,1.0833333333333357,1.1225000000000023,0.5836956521739154,0.5836956521739154,1.029748283752859,1.1666666666666643,0.9375,1.0884057971014514,1.0884057971014514,1.0884057971014514,1.1500000000000057,,,,
Fulton St,0.5093167701863308,0.5419254658385029,0.5419254658385029,0.5419254658385029,0.5419254658385029,0.5803782505910178,0.5434782608695663,0.5929951690821262,0.36312399355877467,0.11723602484472195,0.11723602484472195,-0.032608695652173836,-0.03191489361702171,-0.03191489361702127,-0.03191489361702127,0.0,0.2567567567567566,0.256756756756757,0.256756756756757,0.3918918918918912,0.8194444444444446,0.8243243243243228,1.5694444444444429,1.8223214285714278,1.3628841607565008,1.75177304964539,1.7395833333333357,1.0833333333333321,1.0833333333333357,1.1225000000000023,0.5836956521739154,0.5836956521739154,1.029748283752859,1.1666666666666643,0.9375,1.0884057971014514,1.0884057971014514,1.0884057971014514,1.1500000000000057,,,,
High St,0.5093167701863308,0.5419254658385029,0.5419254658385029,0.5419254658385029,0.5419254658385029,0.5803782505910107,0.5434782608695663,0.5929951690821262,0.36312399355877645,0.11723602484472195,0.11723602484472195,-0.032608695652173836,-0.03191489361702082,-0.03191489361702171,-0.03191489361702171,0.0,0.0,0.0,0.0,0.1351351351351351,0.5555555555555554,0.5675675675675684,1.3055555555555571,1.5508928571428555,1.0989952718676115,1.4878841607565008,1.4756944444444464,0.8333333333333321,0.8333333333333321,0.8724999999999987,0.3086956521739168,0.3086956521739168,0.7402745995423317,0.8809523809523796,0.6517857142857153,0.8217391304347785,0.8217391304347785,0.8217391304347785,0.8833333333333329,,,,
Jay St-MetroTech,0.5093167701863308,0.5419254658385029,0.5419254658385029,0.5419254658385029,0.5419254658385029,0.5803782505910107,0.5434782608695627,0.5929951690821262,0.36312399355877645,0.1172360248447184,0.1172360248447184,-0.032608695652173836,-0.03191489361702082,-0.03191489361702082,-0.03191489361702171,0.0,0.0,0.0,0.0,0.1351351351351351,0.5555555555555554,0.5675675675675684,1.3055555555555571,1.5508928571428555,1.0989952718676115,1.4878841607565008,1.4756944444444464,0.8333333333333321,0.8333333333333321,0.8724999999999987,0.30869565217391326,0.3086956521739168,0.7402745995423317,0.8809523809523796,0.6517857142857153,0.8217391304347785,0.8217391304347785,0.8217391304347785,0.8833333333333329,,,,
Hoyt-Schermerhorn Sts,0.6521739130434767,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.728526398739163,0.6863354037267086,0.741143317230275,0.5112721417069253,0.26009316770186075,0.26009316770186075,0.11553945249597497,0.12193126022913248,0.11623325453112798,0.11623325453112798,0.1538461538461542,0.14814814814814792,0.15384615384615374,0.0,0.1351351351351351,0.5555555555555554,0.5675675675675684,1.3055555555555571,1.5508928571428555,1.0989952718676115,1.4878841607565008,1.4756944444444464,0.8333333333333321,0.8333333333333321,0.8724999999999987,0.30869565217391326,0.30869565217391326,0.7402745995423317,0.8809523809523796,0.6517857142857153,0.8217391304347785,0.8217391304347785,0.8217391304347785,0.8833333333333329,,,,
Nostrand Av,0.6521739130434767,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.728526398739163,0.6863354037267086,0.741143317230275,0.5112721417069253,0.26009316770186075,0.26009316770186075,0.1155394524959732,0.12193126022913248,0.11623325453112798,0.11623325453112798,0.1538461538461533,0.1481481481481488,0.1538461538461542,0.0,0.0,0.4166666666666665,0.43243243243243246,1.166666666666666,1.408035714285715,0.960106382978724,1.3489952718676133,1.3368055555555571,0.6770833333333321,0.6770833333333321,0.7162499999999987,0.18369565217391326,0.18369565217391326,0.608695652173914,0.7380952380952337,0.5089285714285694,0.6884057971014457,0.6884057971014457,0.6884057971014457,0.75,,,,
Utica Av,0.6521739130434767,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.728526398739163,0.6863354037267086,0.741143317230275,0.5112721417069253,0.26009316770186075,0.26009316770186075,0.1155394524959732,0.12193126022913248,0.11623325453112798,0.11623325453112798,0.1538461538461533,0.1481481481481488,0.1538461538461533,0.0,0.0,0.0,0.0,0.7222222222222214,0.9508928571428577,0.5156619385342793,0.9045508274231686,0.8923611111111107,0.23958333333333215,0.23958333333333215,0.2787499999999987,-0.24130434782608745,-0.24130434782608745,0.1876430205949653,0.3452380952380949,0.1160714285714306,0.32173913043477853,0.32173913043477853,0.32173913043477853,0.38333333333333286,,,,
Broadway Junction,0.6521739130434767,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.6847826086956488,0.728526398739163,0.6863354037267086,0.741143317230275,0.5112721417069253,0.26009316770186075,0.26009316770186075,0.1155394524959732,0.12193126022913248,0.11623325453112798,0.11623325453112798,0.1538461538461533,0.1481481481481488,0.1538461538461533,0.0,0.0,0.0,0.0,0.583333333333333,0.8080357142857144,0.37677304964539005,0.7656619385342793,0.7534722222222214,0.11458333333333393,0.11458333333333393,0.15374999999999872,-0.39130434782608603,-0.39130434782608603,0.029748283752862648,0.13095238095238315,-0.0982142857142847,0.1217391304347828,0.1217391304347828,0.1217391304347828,0.18333333333333712,,,,
Euclid Av,0.8128881987577614,0.8454968944099335,0.8454968944099335,0.8454968944099335,0.8454968944099335,0.8951930654058273,0.8470496894409933,0.9078099838969464,0.6779388083735967,0.42080745341615255,0.42080745341615255,0.2822061191626375,0.2950081833060558,0.3384554767533494,0.3384554767533494,0.3547463175122765,0.3412135539795109,0.3547463175122765,0.2009001636661214,0.11217948717948723,0.1112929623567922,0.0,0.0,0.3999999999999999,0.0,0.3888888888888893,0.3888888888888893,-0.09375,-0.09375,-0.07375000000000043,-0.8967391304347831,-0.8967391304347831,-0.4954233409610964,-0.4077380952380949,-0.6369047619047592,-0.4521739130434774,-0.4521739130434774,-0.4521739130434739,-0.40416666666666146,,,,
Grant Av,0.8929146537842314,0.9255233494363893,0.9255233494363893,0.9255233494363893,0.9255233494363893,0.979950900163665,0.923107890499189,0.988294314381271,0.7491638795986617,0.4750402576489563,0.4750402576489563,0.33277591973244114,0.3480851063829782,0.3911620294599025,0.3911620294599025,0.42307692307692335,0.40740740740740833,0.42307692307692335,0.26923076923077005,0.17962356792144085,0.17892976588628784,0.05999999999999961,0.0,0.0,-0.38888888888888884,0.0,0.0,-0.4375,-0.4375,-0.4175000000000004,-1.2967391304347835,-1.2967391304347835,-0.8901601830663601,-0.7648809523809526,-0.9940476190476168,-0.7855072463768096,-0.7855072463768096,-0.7855072463768096,-0.7374999999999972,,,,
80 St,0.8929146537842314,0.9255233494363964,0.9255233494363893,0.9255233494363893,0.9255233494363893,0.979950900163665,0.923107890499189,0.988294314381271,0.7491638795986617,0.4750402576489563,0.4750402576489563,0.33277591973244114,0.34808510638298173,0.3911620294599025,0.3911620294599025,0.42307692307692335,0.40740740740740833,0.42307692307692335,0.26923076923077005,0.17962356792144085,0.17892976588628784,0.0600000000000005,0.0,0.0,0.0,0.38888888888888884,0.38888888888888884,-0.09375,-0.09375,-0.07375000000000043,-0.8967391304347831,-0.8967391304347831,-0.4954233409610964,-0.4077380952380949,-0.6369047619047592,-0.4521739130434774,-0.4521739130434774,-0.4521739130434774,-0.40416666666666856,,,,
88 St,0.8929146537842314,0.9255233494364035,0.9255233494363964,0.9255233494363893,0.9255233494363893,0.979950900163665,0.923107890499189,0.988294314381271,0.7491638795986617,0.4750402576489563,0.4750402576489563,0.33277591973244114,0.34808510638298173,0.3911620294599025,0.3911620294599025,0.42307692307692335,0.40740740740740833,0.42307692307692335,0.26923076923077005,0.17962356792143908,0.17892976588628784,0.0600000000000005,0.0,0.0,0.0,0.0,0.0,-0.4375,-0.4375,-0.4175000000000004,-1.2967391304347826,-1.2967391304347835,-0.8901601830663601,-0.7648809523809526,-0.9940476190476168,-0.7855072463768096,-0.7855072463768096,-0.7855072463768096,-0.7375000000000007,,,,
Rockaway Blvd,0.8929146537842314,0.9255233494364035,0.9255233494364035,0.9255233494363893,0.9255233494363893,0.979950900163665,0.923107890499189,0.988294314381271,0.7491638795986617,0.4750402576489563,0.4750402576489563,0.33277591973244114,0.34808510638298173,0.391162029459899,0.3911620294599025,0.42307692307692335,0.40740740740740833,0.42307692307692335,0.26923076923077005,0.17962356792143908,0.17892976588628784,0.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3947368421052637,0.3720238095238102,0.14285714285714235,0.16086956521738927,0.16086956521738927,0.16086956521738927,0.14999999999999858,,,,
104 St,1.1072463768116023,1.2748447204969011,1.2748447204969011,1.2748447204969011,1.2748447204969011,1.274844720496894,1.1043478260869506,1.2406832298136692,0.9549689440993774,0.5898550724637701,0.5898550724637701,0.44254658385093393,0.44254658385093393,0.44254658385093393,0.44254658385093393,0.4642857142857153,0.43333333333333357,0.43333333333333357,0.2666666666666657,0.11335403726707938,0.11335403726707938,0.10714285714285765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
111 St,1.1942028985507278,0.9736024844720532,0.9736024844720532,0.9736024844720532,0.9736024844720532,0.9736024844720532,0.7507246376811594,0.7096273291925428,0.4239130434782581,0.01594202898550634,0.01594202898550634,-0.20341614906832461,-0.20341614906832461,-0.20341614906832461,-0.20341614906832461,-0.18167701863354324,-0.25072463768116293,-0.30606060606060836,-0.47272727272727266,-0.6475155279503113,-0.6475155279503113,-0.653726708074533,-0.8757763975155282,-0.8757763975155282,-0.8757763975155282,-0.8757763975155273,-0.8757763975155273,0.0,0.0,0.0,,,,,,,,,,,,,
Ozone Park-Lefferts Blvd,1.1942028985507278,0.9736024844720532,0.9736024844720532,0.9736024844720532,0.9736024844720532,0.9736024844720532,0.7507246376811594,0.7096273291925428,0.4239130434782581,0.01594202898550634,0.01594202898550634,-0.20341614906832461,-0.20341614906832461,-0.20341614906832461,-0.20341614906832461,-0.18167701863354324,-0.2507246376811594,-0.30606060606060836,-0.47272727272727266,-0.6475155279503113,-0.6475155279503113,-0.653726708074533,-0.8757763975155282,-0.8757763975155282,-0.8757763975155282,-0.8757763975155282,-0.8757763975155273,0.0,0.0,0.0,,,,,,,,,,,,,
Aqueduct-N Conduit Av,0.6304347826087024,0.5535117056856222,0.5535117056856222,0.5535117056856222,0.5535117056856222,0.6458333333333357,0.6992753623188364,0.6992753623188364,0.5126811594202891,0.33152173913043725,0.33152173913043725,0.20652173913043725,0.23106060606060908,0.3333333333333357,0.3333333333333357,0.375,0.375,0.40909090909091006,0.2727272727272734,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.3947368421052637,0.3720238095238084,0.14285714285714235,0.16086956521738927,0.16086956521738927,0.16086956521738927,0.14999999999999858,,,,
Howard Beach-JFK Airport,0.6304347826087024,0.5535117056856222,0.5535117056856222,0.5535117056856222,0.5535117056856222,0.6458333333333286,0.6992753623188364,0.6992753623188364,0.5126811594202891,0.33152173913043725,0.33152173913043725,0.20652173913043725,0.23106060606060908,0.3333333333333357,0.3333333333333357,0.375,0.375,0.40909090909091006,0.2727272727272734,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.22916666666666607,-0.18405797101449295,-0.1840579710144894,-0.1840579710144894,-0.17499999999999716,,,,
