,Euclid Av,Shepherd Av,Van Siclen Av,Liberty Av,Broadway Junction,Utica Av,Nostrand Av,Hoyt-Schermerhorn Sts,Jay St-MetroTech,High St,Fulton St,Chambers St,Canal St,W 4 St-Wash Sq,14 St,34 St-Penn Station,42 St-Port Authority Bus Terminal,59 St-Columbus Circle,125 St,145 St,168 St
Euclid Av,0.0,1.5,3.0,4.5,6.5,16.18018018018018,19.18018018018018,22.936936936936938,24.463963963963963,26.963963963963963,29.963963963963963,31.55855855855856,34.05855855855856,37.55855855855856,40.027027027027025,43.166666666666664,44.63513513513514,49.06306306306306,61.91891891891892,65.91891891891892,70.53603603603604
Shepherd Av,1.5,0.0,1.5,3.0,5.0,14.68018018018018,17.68018018018018,21.436936936936938,22.963963963963963,25.463963963963963,28.463963963963963,30.05855855855856,32.55855855855856,36.05855855855856,38.527027027027025,41.666666666666664,43.13513513513514,47.56306306306306,60.41891891891892,64.41891891891892,69.03603603603604
Van Siclen Av,3.5,2.0,0.0,1.5,3.5,13.18018018018018,16.18018018018018,19.936936936936938,21.463963963963963,23.963963963963963,26.963963963963963,28.55855855855856,31.05855855855856,34.55855855855856,37.027027027027025,40.166666666666664,41.63513513513514,46.06306306306306,58.91891891891892,62.91891891891892,67.53603603603604
Liberty Av,5.0,3.5,1.5,0.0,2.0,11.68018018018018,14.68018018018018,18.436936936936938,19.963963963963963,22.463963963963963,25.463963963963963,27.05855855855856,29.55855855855856,33.05855855855856,35.527027027027025,38.666666666666664,40.13513513513514,44.56306306306306,57.41891891891892,61.41891891891892,66.03603603603604
Broadway Junction,7.058558558558558,5.558558558558558,3.5585585585585586,2.0585585585585586,0.0,8.536036036036036,11.536036036036036,15.292792792792794,16.81981981981982,19.31981981981982,22.31981981981982,23.914414414414413,26.414414414414413,29.914414414414413,32.38288288288288,35.52252252252252,36.990990990990994,41.41891891891892,54.27477477477478,58.27477477477478,62.891891891891895
Utica Av,15.891891891891891,14.391891891891891,12.391891891891891,10.891891891891891,8.572072072072071,0.0,3.0,6.756756756756757,8.283783783783784,10.783783783783784,13.783783783783784,15.378378378378379,17.87837837837838,21.37837837837838,23.846846846846848,26.986486486486488,28.454954954954953,32.88288288288288,45.73873873873874,49.73873873873874,54.35585585585586
Nostrand Av,18.89189189189189,17.39189189189189,15.391891891891891,13.891891891891891,11.572072072072071,3.0,0.0,3.7567567567567566,5.283783783783784,7.783783783783784,10.783783783783784,12.378378378378379,14.878378378378379,18.37837837837838,20.846846846846848,23.986486486486488,25.454954954954953,29.882882882882882,42.73873873873874,46.73873873873874,51.35585585585586
Hoyt-Schermerhorn Sts,22.50900900900901,21.00900900900901,19.00900900900901,17.50900900900901,15.18918918918919,6.617117117117117,3.6171171171171173,0.0,1.527027027027027,4.027027027027027,7.027027027027027,8.621621621621621,11.121621621621621,14.621621621621621,17.09009009009009,20.22972972972973,21.6981981981982,26.126126126126128,38.98198198198198,42.98198198198198,47.5990990990991
Jay St-MetroTech,24.4009009009009,22.9009009009009,20.9009009009009,19.4009009009009,17.08108108108108,8.50900900900901,5.509009009009009,1.8918918918918919,0.0,2.5,5.5,7.094594594594595,9.594594594594595,13.094594594594595,15.563063063063064,18.7027027027027,20.17117117117117,24.5990990990991,37.45495495495496,41.45495495495496,46.072072072072075
High St,26.4009009009009,24.9009009009009,22.9009009009009,21.4009009009009,19.08108108108108,10.50900900900901,7.509009009009009,3.891891891891892,2.0,0.0,3.0,4.594594594594595,7.094594594594595,10.594594594594595,13.063063063063064,16.2027027027027,17.67117117117117,22.0990990990991,34.95495495495496,38.95495495495496,43.572072072072075
