,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Liberty Av,Van Siclen Av,Shepherd Av,Euclid Av
168 St,0.0,0.8488372093023258,2.711868845589775,7.200895663104966,8.499528598365806,8.679761156505343,8.68434422794888,8.887832600041904,10.534962287869263,10.273334380892518,10.273334380892514,10.254137858789022,10.254137858789022,10.303006494866963,11.649774774774777,12.483474753823586,13.750916614288705,2.301282051282058,2.301282051282058,2.301282051282058,15.977713178294579
145 St,0.8488372093023258,0.0,0.7122093023255816,5.201236119840772,6.4998690551016125,6.680101613241149,6.684684684684683,6.888173056777706,8.535302744605072,8.273674837628327,8.273674837628327,8.254478315524828,8.254478315524828,8.303346951602762,9.650115231510576,10.4838152105594,11.751257071024511,1.130110880110884,1.130110880110884,1.1301108801108768,13.97805363503037
125 St,1.285721768279907,0.42441860465116266,0.0,4.489026817515191,5.787659752776031,5.967892310915566,5.9724753823591,6.175963754452123,7.8230934422794896,7.5614655353027445,7.5614655353027445,7.542269013199249,7.542269013199249,7.591137649277179,8.937905929185,9.771605908233816,11.039047768698936,1.130110880110884,1.130110880110884,1.130110880110884,13.265844332704802
59 St-Columbus Circle,5.3450659962287865,4.483762832600043,4.059344227948879,0.0,1.2986329352608421,1.4788654934003773,1.483448564843913,1.6869369369369362,3.334066624764299,3.072438717787554,3.0724387177875556,3.0532421956840565,3.0532421956840565,3.102110831761994,4.448879111669811,5.28257909071862,6.55002095118374,0.8823631323631318,0.8823631323631318,0.8823631323631318,8.776817515189606
42 St-Port Authority Bus Terminal,6.947412528807877,6.086109365179132,5.661690760527968,1.7157186256023462,0.0,0.20348837209302317,0.20807144353655982,0.411559815629583,2.0586895034569466,1.7970615964802015,1.7970615964802015,1.7778650743767024,1.7778650743767024,1.8267337104546435,3.1735019903624533,4.00720196941127,5.274643829876386,-0.32033957033956995,-0.32033957033956995,-0.32033957033956995,7.501440393882255
34 St-Penn Station,6.694950764718207,5.83364760108946,5.409228996438298,1.4632568615126758,0.46265451498009647,0.0,0.004583071443536202,0.20807144353655982,1.8552011313639234,1.5935732243871783,1.5935732243871783,1.5743767022836774,1.5743767022836792,1.6232453383616203,2.97001361826943,3.80371359731825,5.071155457783362,-0.32033957033956995,-0.32033957033956995,-0.32033957033956995,7.297952021789229
14 St,6.820055520636917,5.958752357008169,5.534333752357007,1.5883616174313842,0.5877592708988058,0.12510475591870973,0.0,0.20348837209302317,1.8506180599203859,1.5889901529436417,1.5889901529436425,1.5697936308401417,1.5697936308401417,1.618662266918081,2.965430546825896,3.7991305258747126,5.066572386339832,-0.5161122661122661,-0.5161122661122661,-0.5161122661122661,7.293368950345695
W 4 St-Wash Sq,7.282710035617015,6.4214068719882675,5.996988267337105,2.0510161324114815,1.0504137858789022,0.5877592708988058,0.46265451498009647,0.0,1.6471296878273627,1.3855017808506185,1.3855017808506185,1.3663052587471185,1.3663052587471185,1.4151738948250578,2.761942174732873,3.5956421537816894,4.863084014246805,-0.5161122661122661,-0.5161122661122661,-0.5161122661122661,7.089880578252675
Canal St,8.038523989105386,7.177220825476638,6.752802220825476,2.806830085899854,1.806227739367273,1.3435732243871783,1.2184684684684681,0.7558139534883721,0.0,0.0,0.0,-0.019196522103499092,-0.019196522103499092,0.02967211397444025,1.3764403938822554,2.210140372931072,3.4775822333961877,0.8407830907830913,0.8407830907830913,0.8407830907830913,5.704378797402054
Chambers St,8.436779803058872,7.5754766394301285,7.151058034778966,3.2050858998533407,2.2044835533207614,1.7418290383406667,1.6167242824219574,1.15406976744186,0.42441860465116266,0.0,0.0,-0.019196522103499092,-0.019196522103499092,0.02967211397444025,1.3764403938822536,2.210140372931072,3.4775822333961877,0.8407830907830913,0.8407830907830913,0.8407830907830913,5.704378797402054
