,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av
168 St,0.0,1.0,2.947117794486216,8.124474789915967,9.524159663865543,9.810924369747898,9.653895768833852,9.953491471215354,11.911239495798323,11.979706729510347,11.979706729510347,11.952922077922082,11.93256929637527,11.96049783549784,13.484577922077918,14.524999999999999,15.969426406926416,18.748376623376615
145 St,1.0,0.0,0.8999999999999999,6.061974789915967,7.461659663865545,7.748424369747898,7.5924922600619205,7.890991471215351,9.848739495798323,9.918303220738416,9.918303220738416,9.890422077922079,9.87006929637527,9.89799783549784,11.422077922077918,12.462499999999999,13.90692640692641,16.685876623376615
125 St,1.5107142857142861,0.5,0.0,5.142857142857142,6.535189075630251,6.821953781512603,6.658668730650156,6.950692963752665,8.907563025210084,8.970542026708564,8.970542026708564,8.935876623376625,8.914845415778252,8.935876623376625,10.452380952380949,11.48557692307692,12.929653679653676,15.701028138528137
59 St-Columbus Circle,6.425000000000001,5.420289855072463,4.9275362318840585,0.0,1.392331932773109,1.6790966386554622,1.5095459236326114,1.807835820895523,3.764705882352942,3.8214192196910197,3.8214192196910197,3.793019480519483,3.77198827292111,3.793019480519483,5.309523809523814,6.3427197802197774,7.786796536796537,10.558170995670991
42 St-Port Authority Bus Terminal,8.0125,7.006858178053831,6.494565217391305,1.5781573498964798,0.0,0.28676470588235303,0.11971104231166141,0.411513859275054,2.4075630252100844,2.4252422100026187,2.4252422100026187,2.416937229437231,2.412979744136461,2.4320887445887465,3.976731601731604,4.992445054945055,6.4705086580086615,9.204004329004327
34 St-Penn Station,7.726785714285715,6.738742236024846,6.233695652173912,1.3100414078674945,0.5,0.0,-0.16705366357069185,0.1204690831556503,2.120798319327731,2.134197433883216,2.134197433883216,2.121482683982684,2.121934968017058,2.1366341991341997,3.6812770562770574,4.692445054945054,6.175054112554115,8.90854978354978
14 St,7.780357142857142,6.792313664596271,6.287267080745339,1.3636128364389242,0.5614035087719298,0.05357142857142838,0.0,0.2910447761194028,2.2867647058823533,2.291044776119403,2.291044776119403,2.2816558441558445,2.277585287846481,2.289231601731604,3.833874458874458,4.849587912087912,6.327651515151516,9.061147186147188
W 4 St-Wash Sq,8.280357142857145,7.292313664596271,6.787267080745341,1.8636128364389233,1.0614035087719298,0.5535714285714288,0.5,0.0,2.0,2.0,2.0,1.9862012987012978,1.9865405117270782,1.9937770562770556,3.5384199134199115,4.549587912087912,6.032196969696969,8.765692640692642
Canal St,9.19464285714286,8.212603519668736,7.7148033126294,2.805641821946171,2.0099329205366363,1.5021008403361344,1.4558823529411766,0.9558823529411766,0.0,0.0,0.0,-0.01379870129870131,-0.01345948827292176,-0.006222943722944407,1.5384199134199115,2.5495879120879117,4.032196969696969,6.765692640692642
Chambers St,9.651785714285719,8.683618012422365,8.207556935817802,3.3056418219461694,2.5099329205366363,2.0021008403361353,1.9558823529411766,1.4558823529411766,0.5,0.0,0.0,-0.01379870129870131,-0.01345948827292176,-0.006222943722944407,1.5384199134199132,2.5495879120879117,4.032196969696969,6.765692640692638
Fulton St,9.607142857142858,8.644151138716357,8.166407867494822,3.270056935817804,2.4785861713106296,1.9632352941176467,1.92436974789916,1.4231166150670793,0.4745872033023737,-0.03308823529411775,0.0,-0.01379870129870131,-0.01345948827292176,-0.006222943722944407,1.5384199134199132,2.5495879120879117,4.032196969696969,6.765692640692638
High St,9.607142857142861,8.644151138716357,8.166407867494826,3.270056935817802,2.4785861713106296,1.9632352941176467,1.92436974789916,1.4231166150670802,0.4745872033023737,-0.03308823529411775,0.0,0.0,0.0,0.0,1.545995670995671,2.5495879120879117,4.032196969696969,6.765692640692638
Jay St-MetroTech,9.607142857142861,8.64415113871636,8.166407867494826,3.270056935817802,2.4785861713106314,1.9632352941176485,1.92436974789916,1.4231166150670802,0.4745872033023737,-0.03308823529411775,0.0,0.0,0.0,0.0,1.545995670995671,2.5495879120879117,4.032196969696969,6.765692640692638
Hoyt-Schermerhorn Sts,9.607142857142861,8.64415113871636,8.166407867494826,3.270056935817802,2.4785861713106314,1.9632352941176485,1.9243697478991617,1.4231166150670802,0.4745872033023737,-0.03308823529411775,0.0,0.0,0.0,0.0,1.545995670995671,2.5495879120879117,4.032196969696969,6.76569264069264
Nostrand Av,11.732142857142861,10.76915113871636,10.28247929606625,5.37719979296066,4.592621259029929,4.070378151260506,4.031512605042014,3.537151702786378,2.5886222910216734,2.07405462184874,2.1071428571428577,2.114035087719298,2.1071428571428577,2.1071428571428568,0.0,0.9960164835164838,2.487554112554112,5.229978354978355
Utica Av,12.776785714285715,11.813793995859214,11.318193581780534,6.403985507246375,5.618937048503614,5.0882352941176485,5.04936974789916,4.554695562435498,3.606166150670795,3.0829831932773093,3.116071428571427,3.1228070175438596,3.1071428571428577,3.1071428571428577,1.0,0.0,1.5,4.243777056277056
Broadway Junction,14.276785714285715,13.313793995859214,12.818193581780534,7.903985507246375,7.118937048503614,6.5882352941176485,6.549369747899156,6.054695562435498,5.106166150670795,4.582983193277311,4.616071428571427,4.62280701754386,4.607142857142858,4.607142857142858,2.5,1.5,0.0,2.5
Euclid Av,16.775,15.811594202898547,15.301501035196686,10.387292960662528,9.601135190918477,9.070903361344541,9.03203781512605,8.53689370485036,7.588364293085654,7.0656512605042,7.09873949579832,7.104346687614559,7.089152452025587,7.089810924369749,4.981539670070699,3.9813311688311686,1.5,0.0
