stop_id,stop_name,borough,stop_lat,stop_lon
L06,1 Av,Manhattan,40.730953,-73.981628
A18,103 St,Manhattan,40.796092,-73.961454
119,103 St,Manhattan,40.799446,-73.968379
624,103 St,Manhattan,40.7906,-73.947478
706,103 St-Corona Plaza,Queens,40.749865,-73.8627
A63,104 St,Queens,40.681711,-73.837683
J14,104 St,Queens,40.695178,-73.84433
623,110 St,Manhattan,40.79502,-73.94425
227,110 St-Malcolm X Plaza,Manhattan,40.799075,-73.951822
A64,111 St,Queens,40.684331,-73.832163
J13,111 St,Queens,40.697418,-73.836345
705,111 St,Queens,40.75173,-73.855334
A16,116 St,Manhattan,40.805085,-73.954882
226,116 St,Manhattan,40.802098,-73.949625
622,116 St,Manhattan,40.798629,-73.941617
117,116 St-Columbia University,Manhattan,40.807722,-73.96411
J12,121 St,Queens,40.700492,-73.828294
225,125 St,Manhattan,40.807754,-73.945495
621,125 St,Manhattan,40.804138,-73.937594
116,125 St,Manhattan,40.815581,-73.958372
A15,125 St,Manhattan,40.811109,-73.952343
224,135 St,Manhattan,40.814229,-73.94077
A14,135 St,Manhattan,40.817894,-73.947649
115,137 St-City College,Manhattan,40.822008,-73.953676
416,138 St-Grand Concourse,Bronx,40.813224,-73.929849
D19,14 St,Manhattan,40.738228,-73.996209
A31,14 St,Manhattan,40.740893,-74.00169
132,14 St,Manhattan,40.737826,-74.000201
635,14 St-Union Sq,Manhattan,40.734673,-73.989951
L03,14 St-Union Sq,Manhattan,40.734789,-73.99073
R20,14 St-Union Sq,Manhattan,40.735736,-73.990568
A12,145 St,Manhattan,40.824783,-73.944216
302,145 St,,40.820421,-73.936245
114,145 St,Manhattan,40.826551,-73.95036
D13,145 St,Manhattan,40.824783,-73.944216
222,149 St-Grand Concourse,Bronx,40.81841,-73.926718
415,149 St-Grand Concourse,Bronx,40.818375,-73.927351
F25,15 St-Prospect Park,Brooklyn,40.660365,-73.979493
A11,155 St,Manhattan,40.830518,-73.941514
D12,155 St,Manhattan,40.830135,-73.938209
113,157 St,Manhattan,40.834041,-73.94489
D11,161 St-Yankee Stadium,Bronx,40.827905,-73.925651
414,161 St-Yankee Stadium,Bronx,40.827994,-73.925831
A10,163 St-Amsterdam Av,Manhattan,40.836013,-73.939892
D10,167 St,Bronx,40.833771,-73.91844
413,167 St,Bronx,40.835537,-73.9214
A09,168 St,Manhattan,40.840719,-73.939561
112,168 St-Washington Hts,Manhattan,40.840556,-73.940133
F02,169 St,,40.71047,-73.793604
D09,170 St,Bronx,40.839306,-73.9134
412,170 St,Bronx,40.840075,-73.917791
215,174 St,Bronx,40.837288,-73.887734
